ID;Nome;Nome da Mae;Nome do Pai;Sexo;Data de Nascimento;Bairro;Onibus
2532;JANDERSON BEZERRA NONATO;GERUZA BEZERRA SANTOS;JOAQUIM RAMOS NONATO;H;23021147;President Kennedy;392, 682, 493, 700, 992, 660, 683, 123, 528, 456
2533;ANTONIA OLIVEIRA CLAUDIO;TEREZA OLIVEIRA OLIVEIRA;FRANCISCO SILVA CLAUDIO;M;09042000;Oarra do Cear;197, 688, 275, 511, 424, 871, 812, 528
2534;REGINEUDO SANTIOS MELO;MARIA SANTIOS CHAGAS;ANTONIO RODRIGUES MELO;H;23091986;Varjota;938
2535;OCELIA FERREIRA CLAUDIO;ANTONIA FERREIRA COSTA;JOSE MARQUES CLAUDIO;M;20041938;ManoelSatiro;465
2536;FABIOLA ROCHA COSTA;JOANA ROCHA PEREIRA;ADEMIR TRANCA COSTA;M;74081978;Praia do Futuro II;185
2537;REGINA;MARIA SILVA DUARTE;ANTONIO FERREIRA SANTOS;M;09011944;Edson Queiroz;806, 963
2538;DAVID M M;MARIA MARTINS SALES;PEDRO CAVALCANTE MANOEL;H;16101941;Coco;333, 963, 034, 106, 884, 631, 837, 420
2539;TIAGO SOUZA ALVES;MARIA SOUZA MORAES;LUIS BRITO ALVES;H;09691690;Granja Portugal;621, 619, 807, 251, 590
2540;RENATO SILVA CALIXTO;ELIS SILVA MAIA;MANOEL ROCHA CALIXTO;H;05114964;Manoel Satiro;615, 963
2541;LUCAS OLIVEIRA NASCIMENTO;MARIA;ANTONIO ASSIS NASCIMENTO;H;03032016;Faima;856, 797, 894, 182, 163
2542;GABRIEL LUCAS NARCIZIO;LUCIANA LUCAS FELICIO;FLAVIO NASCIMENTO NARCIZIO;H;07091967;Barroso;685, 831, 609, 484, 777
2543;KAMILLA LIDIA MACIEL;RAIMUNDA LIDIA LIMA;JOSE SILVA MACIEL;M;16021950;Meireles;648, 391, 343, 200, 375
2544;BRUNO MAIA OLIVEIRA;FRANCISCA MAIA OLIVEIRA;REGINALDO MONTEIRO OLIVEIRA;H;24021943;Amadeu Furtado;759, 836, 773, 577
2545;LEUDA RODRIGUES LMA;ANA R N;ANTONIO SOUSA LMA;M;05451956;Paupna;608, 714
2546;FRANCISCA ELI SOUZA;MARIA;FRANCISCO ARAUJO SOUZA;M;06021959;Presdente Vargas;098, 519, 053
2547;MARIA SILVA SOUSA;RAIMUNDA SILVA GRACAS;RUBENS CARNEIRO SOUSA;M;06076941;Varjota;646, 093, 138, 735, 244, 576, 839, 376
2548;MARIA DIAS SANTOS;ANTONIA DIAS SILVA;JOAO CESAR SANTOS;H;22031950;Granja Prtugl;887, 826, 072, 456, 241, 723, 190
2549;VLADYANE SILVA BALBINO;LINA SILVA SANTOS;JOCELIO FIDELES BALBINO;M;11091977;Aonjunto Paleiras;513, 857, 021, 560, 053, 596, 320
2550;WARIA SOUSQ FMLGUEIRA;ANTONIA SOUSA FERREIRA;JOSE C F;M;17091737;Rodolfo Teofilo;914
2551;DANIELE ARRUDA OLIVEIRA;MARIA ARRUDA ARAUJO;MANOEL NASCIMENTO OLIVEIRA;M;02098935;Guararapes;848, 496, 933, 654, 676, 046, 710, 761
2552;REBECA FERREIRA SILVA;CLAUDIA FERREIRA SANTOS;FRANCISCO MOURA SILVA;M;23062013;Messjana;034
2553;DILCE RODRIGUES JOSE;FRANCISCA RODRIGUES ROSA;RAICUNDO VAZ JORE;M;12051964;De Lourdes;867, 250
2554;AZENET SILVA OLIVEIRA;MARIA SILVA SANTOS;JOEL;M;27151351;Joqui Clube;175, 555, 665, 945, 744
2555;FRANCISCO SARMENTO ASSIS;MARIA SARMENTO AGUIAR;EDINARDO;H;09021930;Vila Jeri;817, 375, 954, 074
2556;FRANCISCO MACIEL JOSE;LUCIENE MACIEL MOTA;ALAN MARTINS JOSE;H;09111953;Aeroporto;587, 164, 472, 036, 302, 722, 754
2557;GABRIEL VALENTIM SANTOS;MARIA VALENTIM JANE;JOSE;H;29051945;Cajazeiras;099, 805, 429, 077, 877, 688
2558;MARIA FREITAS OLIVEIRA;MARIA FREITAS ANDRADE;MAURILIO GUIA OLIVEIRA;M;41011975;Conjunto Palmeiras;164, 225, 532
2559;ALESSANERW MORAIS AWNOGIO;ANA MORAIS COSTA;ZACARIAS;H;25051958;Sarra do Ceara;183, 380, 447, 110, 921, 903, 450, 211, 513, 130
2560;JESSICA FREITAS SILVA;VIVIANE FREITAS NASCIMENTO;JOSE SILVA SILVA;M;28041987;Canindeino;308
2561;ANTONIA ALBUQUERQUE FERREIRA;LUZILENE ALBUQUERQUE FERREIRA;VICENTE PINHEIRO FERREIRA;M;16082008;OlavoOlieira;294, 115, 909, 370, 060, 715, 612, 110
2562;ANTONIA;ANTONIA AGUIAR NASCIMENTO;FERNANDO PEREIRA AVILA;M;16022006;Canindezinho;733, 490, 297
2563;ELTON SOUZA CUNHA;ANA S L;CARLOS SILVA CUNHA;H;13041950;Jarim America;120, 648, 985, 072, 334, 749, 625, 866
2564;MARIJGSU ALMEIDA CANDIXO;RAIMUNDO ALMEIDA FERREIRA;OTACIZO JUNIOR CANDIDO;M;09088958;Vila Ve;425, 825, 551, 594, 034, 282, 489, 434
2565;PEDRO ARAUJO SANTOS;JUDITE ARAUJO VIEIRA;CICERO AMORIM SANTOS;H;30901950;Antonio Bezerra;826, 405, 924, 496, 054, 245, 798, 483, 299
2566;LEANDRO ITELVINA FREITAS;FRANCISCA;CARLOS ANTONIO FREITAS;H;21031970;Messejana;177, 998, 955, 606, 646, 597
2567;FRANCISCO CARVALHO MENEZES;LUCICLEIDE CARVALHO ROCHA;EDMAR GOMES MENEZES;H;14091997;Sao Gerardo;539
2568;LUZIRENE LUIZA SOUSA;JULIANA LUIZA SILVA;CICERO SOUSA SOUSA;M;09043025;Salinas;278, 921, 537, 380, 841
2569;FRANCISCO LUCILA MARTINS;LAISSE LUCILA FDLIX;WILSON PIRES MARTINS;H;13061947;Parangaba;581, 793, 125, 315, 349, 913, 707, 429, 912, 847
2570;JOSE N C;ANTONIA N S;EMANUEL SILVA COSTA;H;01012002;Engehero Lciano Cvalcante;869, 571, 032, 600, 069, 689
2571;MARIA BARBOSA VALTER;FATIMA BARBOSA VALDELIA;FRANCISCO B V;M;01091939;Jom Futuro;560, 509, 352, 337, 221, 057, 943, 382
2572;LEANDRO LUIZA NILTON;RITA LUIZA GONCALVES;ANDRE PEDRO NILTON;H;22062020;Maraponga;327, 449, 191, 149, 077, 209, 412, 931, 723, 936
2573;NICOLLY SANTOS SILVA;ROSANGELA SANTOS TELES;FRANCISCO HERMINIO SILVA;M;25031975;Conjuno Esperanca;322, 582, 652, 193, 763, 150, 214, 365, 359
2574;ALDENORA XAVIER SANTOS;MARIA XAVIER FRANCILEIDE;JOSE;M;24089963;Aldeota;288
2575;JOSE PAIVA CRISPIM;KILVIA PAIVA OLIVEIRA;LOURIVAL LIMA CRISPIM;H;15062008;Gias Raced;824, 395, 373, 829, 295, 312, 805, 279, 365
2576;SILVIA MENDES CASTRO;ANTONIA MENDES ALVES;GILSON ALVES CASTRO;M;17041982;Benica;959, 956, 399, 098
2577;RAIMUNDO SILVA FRANCA;EULALIA SILVA MONTEIRO;FRANCISCO FREITAS FRANCA;H;11111920;Fatima;080, 150, 677, 256, 559, 145, 079, 334, 585
2578;ANTONIA;MARIA CASTRO SOUSA;JOSE CARDOSO SABOIA;M;04041977;Boa Vista;671, 763, 693, 718, 867, 287, 790
2579;SIMONE FARIAS SOUZA;ABIGAIL FARIAS MARIA;JOAO PEREIRA SOUZA;M;29081959;Pici;599, 840, 916
2580;ANA LAUDECI JOSE;MARIA LAUDECI LUCINEIDE;ENOQUE CARLOS JOSE;M;03021986;Passare;502, 366, 817
2581;LILIAN LAURENTINO PEREIRA;JESELENA LAURENTINO INACIA;JOSE FREITAS PEREIRA;M;04092000;Macarcanga;176, 448, 051
2582;DANIEL;LUIZA CARDOSO FREIRES;DORMIVAL AVILA COSTA;H;01021974;Edson Quirz;882, 969, 295, 067
2583;GEOVANI M S;MARIA MELO SOUSA;GERMANO P S;H;16032012;Sao Joao do Tauape;811, 080, 076, 020, 220, 734
2584;RAIMUNDO P H;MICHELE PEREIRA LIMA;JOSE RODRIGUES HERNANDES;H;07022012;Conjunto Esperanc;007, 628, 016, 862, 555, 211, 977, 183, 400
2585;MARIA A P;MARIA ALVES ANY;JOAGUIM N P;M;12081982;Parque Dois Prmaos;002, 233, 840
2586;JOSE SOUZA SILVA;MARIA SOUZA CORNEIRO;FRANCISCO;H;13051937;Passare;158, 064
2587;FRANCISCA SANTOS SILVA;DIVANISIA;SEBASTIAO WAGNER SILVA;M;92041699;Conjunto Ceara I;388, 738, 099, 223
2588;JOAO GLAUDENIA MORAIS;MARIA GLAUDENIA SILVA;FRANCISCO FERREIRA MORAIS;H;09081946;Vila Uniao;098, 738, 458, 875, 123, 843
2589;JORGE MOREIRA FREITAS;ANTONIA MOREIRA SOUSA;JOAO OLIVIO FREITAS;H;21011968;Janurussu;336, 735, 603, 586, 834
2590;ALYSON SANTOS NASCIMENTO;FRANCISCA SANTOS OLIVEIRA;ANTONIO FERREIRA NASCIMENTO;H;15102009;Parquelandia;204, 726, 661, 267, 014, 068
2591;MARGAADRIANA COELHO;MARIA ADRIANA FERNANDES;PAULO ANTONIO COELHO;M;15078961;Moura Brasil;126, 626, 983, 708, 913, 852, 891, 966, 756
2592;HLOIZA FALCAU SOARES;MARIA FALCAO MARIA;FRANCISCO GOMES SOARES;M;23061999;Cardim Amrica;838, 800, 238, 557, 912, 952, 263, 889
2593;MURCUS SAMPAIO ABREU;CAAUDIW SAMPAIO CRUZ;JOAO S A;H;18013981;SoGerardo;538, 257, 537, 173, 789, 956, 474
2594;FRANCISCO RIBEIRO MANOEL;NELY RIBEIRO VALERIO;MARCIANO COSTA MANOEL;H;09061952;Alto da Balaca;162, 158, 984, 346, 122, 054, 615
2595;ANTONIO SILVA SANTOS;FRANCISCA SILVA MOTA;JOAO CAVALCANTE SANTOS;H;30012006;Bela Vista;365, 698
2596;JOST;JOSENILDA FREITAS LEITE;CICERO;H;06031949;Graja Yiso;654, 228, 210
2597;ALZENIRA SANTOS PEREIRA;ANTONIA S S;JOAO LIMA PEREIRA;M;05791939;Bo Futuro;555, 541, 134, 364, 315, 446, 324, 852, 890, 797
2598;FRANCISCO;MARIA GOMES FATIMA;JOAO SILVA SOUSA;H;03061981;Itaperi;893, 557, 304, 548, 304, 350, 614, 526, 513
2599;FRANCISCA SILVA SOUZA;ANTONIA SILVA SILVA;JOAO G S;M;14061969;Curio;447, 752
2600;ZACARIAS NASCIMENTO MITIAS;FRANCISCA NASCIMENTO CAMPOS;JOSE NASCIMENTO MATIAS;H;20101988;Edson Queiroz;163, 814, 645, 256, 902, 141, 866, 528
2601;GARLYSON SILVA RODRIGUEW;FIRMINA;ANTONIO PEREIRA RODRIGUES;H;20061995;Cdade dos Funcionaros;421, 962, 079, 846, 052, 447
2602;MARCUS CAMPINA RIBEIRO;AURIDENE CAMPINA OLIVEIRA;SILVANO ANDRADE RIBEIRO;H;74213917;Aeroporto;851, 180, 078, 888
2603;DIONISIO;MARIA PEREIRA CORDEIRO;FRANCISCO SOUZA COSTA;H;26081994;Joaquim Tavora;609, 270, 495, 822, 933, 659, 854, 905
2604;ANA SILVA CORREIA;FRANCISCA S C;JOAO CORREIA SILVA;M;07011981;Jose de Alencar;335, 908, 251, 870, 660, 639
2605;CARLOS LIMA SANTOS;LRCIMAR;EDMILSON NETO SANTOS;H;13091995;Salinas;506, 825, 707, 201, 645, 841, 237, 243
2606;ALOISIO SIMPLICIO MOREIRA;ELISANGELA SIMPLICIO SILVA;RAIMUNDO SILVA MOREIRA;H;17031977;Praia de Iracema;063
2607;MATHEUS GOMES BRANDAO;DIANA GOMES PINHEIRO;FRANCISCO J B;H;06041554;Pedras;197, 265, 828, 247, 449, 791
2608;ERIALDO ANASTACIO FREIRE;MARIA ANASTACIO SOUSA;FRANCISCO EDIMAR FREIRE;H;09101946;Amaeu Furtado;345, 590, 747, 610, 694, 022, 194, 527
2609;ADRIANO S V;FRANCISCA S A;EDGAR SILVA VENANCIO;H;07062008;Conjunto Esperanca;241, 010, 262, 383
2610;SAMUEL ERIDAN ALMEIDA;MARIA ERIDAN SOUSA;FRANCISCO NASCIMENTO ALMEIDA;H;06021970;Parque Arax;793, 919, 394, 628, 445, 875, 634, 401
2611;ORLANDO CLINIO FERREIRA;MARIA CLINIO RODRIGUES;MANOEL S F;H;07112001;Santa Maria;553, 449, 240, 168, 424
2612;MARGARIDASILVA RILHO;GERISLANIA SILVA OLIVEIRA;JOSE WXRAIS FIZHO;M;30051991;Monte Castelo;779, 711, 003, 568, 191, 667, 933, 555, 262, 749
2613;MARIA NASCIMENTO JUSTINO;PATRICIA;AGOSVINHO CKNDEIA JUSTINO;M;06081970;Sao Jose;659, 034, 919, 423, 462, 100, 803, 369, 842, 187
2614;EDVAR;FRANCISCA SILVA ALMEIDA;FRANCISCO RODRIGUES ALMEIDA;H;12131956;Bela Vista;865, 092, 353, 662, 546, 938
2615;JEANE V L;MIGUEL VIEIRA MARTINS;JOSE COSTA LIMA;M;03192002;Parque Araxa;545, 737, 945, 413, 890, 186, 889, 118, 382
2616;SEVERINO OLIVEIRA BATISTA;SUZIANE;ERNANDE SILVA BATISTA;H;22031967;Praia do Xuturo I;628, 618, 824
2617;ERBENIA LIMA SANTOS;MARIA;RAIMUNDO ALVES SANTOS;M;10081941;GranjaLisboa;834, 936, 286, 783, 211, 636, 444, 933, 835
2618;ANTONIA LIDUINA CEZAR;MARIA LIDUINA MARIA;ANSELMO;M;08042806;De Lourds;901, 055, 685
2619;WOSE MOTASOUSA;JOSEFA MOTA VALDETE;FRANCISCO ALVES SOUSA;H;03111940;AntonioBzerra;962, 420, 081, 691, 151, 640, 129, 637
2620;MARIA FEITOSA NETO;ANTONIA F P;JONAS FERREIRA NETO;M;04071953;Dias Macedo;830, 717, 828, 817, 120, 391, 089
2621;JOSE MIMOZA JUNIOR;MARIA MIMOZA MARIA;EDGARD LIMA JUNIOR;H;09111948;Sao Gerardo;798, 270, 860, 772, 987, 986, 525, 883, 889, 761
2622;CARLOS;MARIA;MANUEL SILVA LINO;H;28051906;Rdolfo Teofilo;976, 148, 408, 180, 612, 825, 719, 457
2623;CICERA SILVA ALBUQUERQUE;MARIANA S T;MAURINO TEMOTEO ALBUQUERQUE;M;38011478;Damas;340
2624;MARIA SILVA QUEIROZ;OZANIRA SILVA RODRIGUES;FRANCISCO B Q;M;20067999;Joquei Clube;635, 327, 541, 210, 196
2625;ANA SILVANI PAULO;BOANA ZILVMNI MOTA;FRANCISCO;M;11005000;Amadeu Frtado;740, 374, 500
2626;KATIANE SANTOS OLIVEIRA;SEBASTIANA SANTOS IVONETE;PEDRO MENDES OLIVEIRA;M;06021971;Mauel Dias Branco;330, 100, 892, 590, 796, 433, 276, 383, 115, 482
2627;RAQUEL;MARINETE;JOSE MARTINS LOPES;M;29061954;Henrique Jorge;606, 464, 387, 810
2628;LUCINEIDE SILVA QUEIROZ;MIRIAN SILVA SILVA;RAIMUNDO S Q;M;04032007;Parque Araxa;270, 601, 369, 443, 116, 308, 985
2629;CARLA MARIA RODRIGUES;ROSIANE MARIA FRANCINEIDE;HERRAN;M;06011183;Jardim Iracema;255, 011, 906, 288, 927, 471, 426, 817, 975
2630;CHEIRA SOUZA JOSE;AURILENE SOUZA EVE;EXPEDITO ANTONIO JOSE;M;01382084;Autran Wunes;603, 917, 624, 178
2631;MARIA CRISTINA ANASTACIO;MARLY CRISTINA SILVA;RONNE C A;M;08082981;Benfica;627, 645
2632;KAUA S D;GERALDA SILVA ROSA;ANTONIO SANTOS DUARTE;H;10051953;Mondubim;857, 997, 465, 673, 353
2633;LEANDRO HERCULANO SILVA;REJANE HERCULANO CLAUDENICE;MANOEL SOUSA SILVA;H;28011946;Moura Brasil;050, 635
2634;MARIA VIANA SANTOS;LUCIA V R;GENARIO NOGUEIRA SANTOS;M;01022000;Maraponga;172, 573, 041, 134, 405, 257, 093, 227, 269, 002
2635;ELIAS CAMPOS CELIO;FRANCISCA CAMPOS BONFIM;TIAGO FRANCISCO CELIO;H;22041964;Edson Queiroz;350, 344, 758, 335, 626, 384, 514, 146, 317
2636;MARIA OLIVEIRA AQUINO;AMTONIA OLIVEIRA BRITO;VALDIR LIMA AQUINO;M;15042012;Mondubi;293, 057, 971, 689, 485, 327, 993, 274, 589
2637;LUIS;EXCELSA LIMA SILVA;PAULO CARLOS LIMA;H;22011969;Sao Joaodo Tuape;028, 859, 277, 260, 135, 170, 016
2638;MARIA SILVA NUNES;MARIA SILVA ARAUJO;PEDRO S N;M;12041943;Joao XXQII;888, 006, 601, 885, 227, 025, 356, 365, 934, 437
2639;JANDERSON PEREIRA SILVA;IRACI P O;RAFAEL ALBERTO SILVA;H;05081957;Jnguusu;391, 110, 277, 669, 638, 227, 911
2640;MARIA;VITORIA NASCIMENTO GOMES;LUIZ SILVA ALCANTARA;M;19041994;Padre Lndrade;924, 597
2641;AURICELIA SILVA SANTOS;MARIA SILVA GOMES;LEANDRO FRANCISCO SANTOS;M;01202001;Passare;030, 019
2642;PAULO SOUZA AMARAL;MARIA SOUZA SPOUSA;JULIO BATISTA AMARAL;H;12111948;Jardim Iracema;063, 913
2643;LUANA NASCIMENTO OLIVEIRA;MARIA;ANTONIO LIMA OLIVEIRA;M;07012093;Manoel Satiro;330, 468, 517, 417
2644;ANTONIO OLIVEIRA LIMA;CREUZA;FRANCISCO SOUSA LIMA;H;19101985;Sao Bento;107, 281, 334, 417
2645;FLAVIO S A;JOANA SOUZA LIMA;LAURENTINO;H;07031903;Cambeba;739, 277, 961, 322
2646;JOAO SOUSA SILVA;MARIA SOUSA SILVA;GUILHERME S S;H;26112000;Serrinha;966, 956, 870
2647;ELIZIANE SOUZA COUTINHO;KAMILA;ANTONIO VIEIRA COUTINJO;M;25111990;Varjota;198, 482, 634
2648;MARGARIDA LIMA BARUNA;ALDAIR LIMA OLIVEIRA;MARCIO S B;M;11072003;Cais doPrto;340, 987, 020, 591, 364, 128, 601
2649;LIVIA MARTINS SILVA;FRANCISCA MARTINS LIMA;JOSE;M;25069940;Cristo Redentor;009, 015, 070, 460, 456, 501, 519, 816
2650;FRANCISCO C G;MARIA C N;LUIZ NONATO GOMES;H;12091937;Cais do Porto;137, 784, 972, 283, 318, 666, 362
2651;FRANCISCO ARAUJO SILVA;JEANE ARAUJO RODRIGUES;FRANCISCO EUFRASIO SILVA;H;27032012;Coco;398, 437, 515, 917, 494
2652;DIEGO CONCEICAO LOPES;ERENILDA CONCEICAO LIMA;FRANCISCO SILVA LOPES;H;15011972;Vicente Pinzon;801, 504, 688, 778, 131, 553, 810
2653;MARIA LIMP FILHO;MARIA LIMA PONTE;FRANCISCO E F;M;21771963;Carlito Pamplon;577, 718, 300, 096, 683, 973, 412, 577, 575, 989
2654;MARIA AUXILIADORA SANTOS;EDNAGILA AUXILIADORA NEUDA;PAULO ANGELIM SANTOS;M;22041998;Santa Maria;340, 873
2655;FRANCISCO VAFDA SILNA;MARIL VANDA ERBENE;PEDRO ARAUJO SILVA;H;02011476;Granja Portugal;807, 047, 422, 048, 086, 226, 175, 355, 240, 388
2656;DILTON CURSIA LIMA;MARIA CARSIA SILVA;WDANCIQCO BEZERRA LIMA;H;85011987;Manuel Dia Branco;251, 216, 565, 196, 327, 434, 320, 990
2657;LUIZ GCMES BEZERRJ;MARIA GOMES BRITO;LUIZ C B;H;29042012;Mai do Oorto;811, 876, 345, 280, 952, 125, 261, 124, 799
2658;JULIANA SILVA JOACY;MARIA S R;JOSE CASEMIRO JOACY;M;24051976;Aeroporo;709, 966, 249, 007, 907, 738, 390
2659;MARIA MARIA REIS;IZABEL MATIT LEUDA;FRANCISEO S R;M;10051974;Amadeu Furtado;012, 516
2660;QESIA SXUSA FREITAS;CELMA SOUSA SILVA;JOAO REIS FREITAS;M;19021010;Xncuri;951, 702, 485, 036, 535, 763, 736, 502
2661;LELNARDO LOURENCO PEREIRA;JULIA LOURENCO SANTOS;JOSE GOMES PEREIRA;H;95101992;Autran Fune;240, 094, 045, 939, 552, 074, 022, 268
2662;FRANCISCO PEREIRA VIANA;RITA PEREIRA CUNHA;FRANCISCO FILHO VIANA;H;03052010;Paicu;749, 306, 956, 279, 971, 335
2663;GISEUDA VASCONCELOS SILVA;MARIA VASFONCELOS SOUSA;ROBERTO SILVA SILVA;M;83101965;Salinas;644
2664;MOISES ALVES MACEDO;LUZIA ALVES XAVIER;RAIMUNDO P M;H;22111979;Cidade 2000;803, 991, 324, 670, 718, 527
2665;RAQUEL TEREZA SOUSA;MARIA TEREZA SILVA;MARCOS MEDEIROS SOUSA;M;88031957;Frias Nrito;788, 498, 002, 730, 825, 686, 205
2666;ANDRESSA CRUZ LIMA;FRANCILDA;RAULFRAN GILIARDES LIMA;M;97112006;Sao Gerardo;912, 995, 910, 058, 002, 094, 760, 721
2667;WLADSON MACIEL CAVALCANTE;SANDRA MACIEL SOUSA;FRANCISCO SALES CAVALCANTE;H;03041998;Bom Futuro;361, 475, 242, 501, 754
2668;SARA A F;RUFINA ARRUDA MARIA;JOSE SOUSA FILHO;M;19042001;Presidnte Vargas;305
2669;PEDRO JOSE EUDES;MARIA JOSE LIMA;LUIS GONZAGA EUDES;H;16011997;Vicente Pinzon;070, 522, 255, 846, 146, 438
2670;AGENOR PAULO OLIVEIRA;ANTONIA PAULO SOUSA;RAIMUNDO S O;H;09012011;PrsidenteVargas;296
2671;IANCA CHAGAS LIMA;MARIA CHAGAS CRISTIANE;JOSE;M;13031968;De Lourdes;760, 100
2672;ANA SILVA PEREIRA;MARIA SILVA CLEMENTINO;LEONCDASCRUZ PEREIRA;M;15061358;Alto da Balanca;239, 794, 459, 940, 672
2673;JOELSON LEITE ARAUJO;RAIMUNDA L S;FRANCISCO SILVA ARAUJO;H;21031989;Meireles;867, 805, 395, 483, 157, 139
2674;RAYNARA C N;MARIA CAMPOS MARIA;FABRICIO CUNHA NASCIMENTO;M;20041967;Rodolfo Teofilo;653, 600, 172, 212, 532, 062, 185, 968, 486
2675;ANTONIO SILVA COSTA;FATIMA S P;MANOEL;H;14022013;Sao Jose;213, 666, 858, 665, 213, 601, 826, 106, 915, 918
2676;BENEDITA;MARIA B S;DJALMA SILVA BARBOSA;M;26071992;RodolfoTeofilo;836, 076, 666, 876, 427
2677;PAULO SANTOS FELIPE;JOSEFA SANTOS SILVA;ANTONIO;H;10071969;Faias Brito;626, 818, 990
2678;YOHANNA ALVES AZEVEDO;AGNES ARVES VQEIRA;VILAMAR RODRIGUES AZEVEDO;M;06011965;Granja Lisboa;344, 838, 059, 486, 814, 319, 197, 668, 390, 687
2679;JOAO CASTRO SILVA;MARIA CASTRO SILVA;WLISSES C S;H;25102004;Pirambu;874
2680;LUPAS SILVA PEREIRA;DELZINETE S A;RAIMUNDO THIAGO PEREIRA;H;27084968;Modubim;927, 226, 083, 115, 990, 544, 762, 399, 661
2681;BRUNA FATIMA SILVA;MARIA FATIMA BARBOSA;ROBERTO F S;M;04695139;Cau;751, 056, 686, 534, 054, 935, 245, 654, 418
2682;JADYSSON S S;MARIA SOLENE CANDIDO;FRANCISCO AROLDO SILVA;H;22091949;Conjunto Palmeiras;722, 093, 713
2683;MARIA MENEZES SOUSA;ELIETE MENEZES SILVA;RAIMUNDO;M;19041985;Itapei;015, 341, 161
2684;ALAN ALVES FARNEY;LUCIA ALVES NOGUEIRA;FRANCISCO SILVA FARNEY;H;11051764;Alto a Blanca;769, 670, 562, 837, 646, 616, 362, 753
2685;ELIONETE ACIOLI LIMA;MARIA;EMERSON FONTE LIMA;M;17061986;Salna;322, 770, 623, 334, 130
2686;NARIA LIMA FREITAS;ANA LIMA MATIAS;FRANCSCISCO NASCIMENTO FREITAS;M;14061964;Praia de Iracea;103, 633, 823, 244, 186, 220
2687;KLYSLAINI MOREIRA CRUZ;MARIA MOREIRA DUARTE;GEORGELITO BRANCO CRUZ;M;04031986;Bom Futuro;373, 553
2688;MARIA MENEZES SANTOS;ANA MENEZES LIMA;JOSE GOMES SANTOS;M;17071957;Lagoa Redonda;107, 150, 089, 833, 143, 613
2689;ERICK SOUZA RODRIGUES;FRANCISCA S S;FRANCISCO;H;27241972;Conjunto Ceara I;543, 876, 472, 404
2690;FRANCISCA;MYRIM SILVA MOURA;DELMIRO SOUSA OLIVEIRA;M;28011957;Edon Queiroz;056, 253, 315, 064, 191, 149, 021, 662, 380
2691;ANTONIO FURTADO RODRIGUES;EDILEUZA;JOSE P R;H;09022010;Bonsuces;643, 583
2692;FRANCISCA S F;MARIA SANTOS MOREIRA;EDINILSON SOUSA FERREIRA;M;20091955;Xonjunto Ceara I;219
2693;FRANCISCO SILVA COSTA;CECILIA S S;ROBSON LIMA COSTA;H;28091938;Demcrito Roca;330, 968
2694;ISABELLY PACHECO VALDECI;MARIA PACHECO SILVA;FRANCISCO SILVA VALDECI;M;24011990;Pirambu;652, 705, 118, 325, 239, 976, 620, 598
2695;MARYANNA SILVEIRA SOUZA;ANTONIA SILVEIRA IRANICE;MARDEN CARLOZ SOUZA;M;13031996;Maraponga;854, 372
2696;MARIA;ANGELA FERREIRA GADELHA;FRANCISCO AZEVEDO COSTA;M;17112013;Paue Araxa;508, 058, 531, 451
2697;MANOEL GONCALVES CASTRO;MARIA GONCALVES TAVARES;ANTONIO;H;02058526;Praia do Futuro II;138, 937, 805, 277, 176, 141, 659, 795
2698;IEDA SILVA CASTRO;MARIA SILVA NASCIMENTO;JOSE;M;30102003;Farias Bto;464, 125, 541, 988
2699;ALISSON MARTANS SLMVA;LUCIMAR MARTINS PASSOS;ANTERO RAFAEL SILVA;H;04071982;Dias Mcedo;112, 832
2700;JOSE NASCIMENTO SILVA;ANA NASCIMENUO MINHEIRO;FRANCISCO TAVORA SILVA;H;23071006;Panamericano;517, 488, 437
2701;LUISA SILVA LUIZ;MARIA;FRANCISCO BARBOSA LUIZ;M;11092077;Parque Araxa;458
2702;ZULEIDE MENEZES IZIDIO;MARIA MENEZES LUCIMEIRE;LUIZ PEREIRA IZIDIO;M;06732002;Prefeito Jose Walter;457, 302, 681, 206, 316, 944, 291, 530
2703;JOSE SILVA JUNIOR;TEREZA SILVA SABOIA;FRANCISCO CUNHA JUNIOR;H;17101969;Rodolfo Teofilo;770, 473
2704;NAYANA LIDUINA MOURA;AMELEA;RAIMUNDO MENDES MOURA;M;25051985;Cabiaguaba;157, 691, 959, 902, 467, 857, 706, 405
2705;CARLENE SILVA COSTA;FRANCISCA SILVA FATIMA;CARLOS MOURA COSTA;M;26042014;Padre Andrade;093, 718
2706;CAIK SOUPA SANAOS;FRANCISCA SOUSA OLIVEIRA;JOSE BURITI SANTOS;H;07101933;Via Ellry;193, 124, 226, 108, 778, 164, 796, 293
2707;JOSE SABINO MARQUES;MARIA;DAMIAO PEREIRA MARQUES;H;04291992;Muuripe;048, 968, 746, 032, 113, 756, 115, 675, 966, 408
2708;PAULO SOUZA MARITNS;MARIA SOUZA SILVA;HENRIQUE CRUZ MARITNS;H;28061950;Planalto Ayrton Sena;745, 146, 487, 872, 469
2709;JULIA SILVA CASTRO;ANTONIA SHLVA MONTEIRO;FRANCISCO TEIVEIRA CASTRO;M;29051980;JardimIrcema;187, 224, 798, 067
2710;TAYLOR JUDITE GUERRA;MARIA JUDITE SILUV;GEHALDO MOURA GUERRA;H;07101965;Henrique Porg;280, 532, 275, 348, 788, 749, 377, 787, 293, 991
2711;CHARLY LIMA FIRMINO;MARIA LIMA ALVES;ANTONIO BARROSO FIRMINO;H;12021158;Santa Rosa;468
